"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-74752","Signaling by Insulin receptor","10/455","61/8526",0.163934426229508,3.0718789407314,3.85571594027878,0.00131485397327808,0.0216929037302445,0.0216929037302445,"FGF2/ATP6V1B2/GAB2/ATP6V0E1/FGF7/ATP6V1E1/HRAS/CTSD/FGFR1/ATP6V0A1",10
"R-HSA-2559586","DNA Damage/Telomere Stress Induced Senescence","9/455","51/8526",0.176470588235294,3.30678733031674,3.92294311425983,0.00132926148337791,0.0216929037302445,0.0216929037302445,"H4C8/H2BC5/H4C9/H1-2/H2AC6/H2BC12/TERF2IP/H2BC11/CDKN1A",9
"R-HSA-76002","Platelet activation, signaling and aggregation","22/455","205/8526",0.107317073170732,2.01095684803002,3.47865217480211,0.00133882858442475,0.0216929037302445,0.0216929037302445,"CLU/TRPC6/CD36/VEGFD/HGF/ECM1/SPARC/GNG11/A2M/PROS1/GNAI1/FERMT3/PHACTR2/ABCC4/LCK/VAV1/COL1A1/GNB4/COL1A2/THBS1/RARRES2/TIMP1",22
"R-HSA-212300","PRC2 methylates histones and DNA","8/455","42/8526",0.19047619047619,3.56923076923077,3.96293225508095,0.00146568239364326,0.0231808820126175,0.0231808820126175,"H4C8/H2BC5/H4C9/PHF1/H2AC6/H2BC12/H3C6/H2BC11",8
"R-HSA-199418","Negative regulation of the PI3K/AKT network","13/455","95/8526",0.136842105263158,2.56421052631579,3.64004439648642,0.00151764938298971,0.0231808820126175,0.0231808820126175,"FGF2/GAB2/BDNF/IL33/NRG1/FGF7/HGF/AREG/LCK/VAV1/FGFR1/EREG/PDGFRA",13
"R-HSA-500792","GPCR ligand binding","21/455","194/8526",0.108247422680412,2.0283901665345,3.44011822554911,0.00153403709277313,0.0231808820126175,0.0231808820126175,"S1PR3/ADORA1/SAA1/CXCL6/CCL2/C3/LPAR3/WNT2B/CXCL8/ADM/GPR68/FZD1/UCN/CXCR6/GNG11/GPR37/LPAR1/EDNRB/GNB4/P2RY14/WNT5A",21
"R-HSA-9694614","Attachment and Entry","5/455","17/8526",0.294117647058824,5.51131221719457,4.42056012616165,0.00153433387203372,0.0231808820126175,0.0231808820126175,"SDC2/CTSL/GPC1/NRP1/FURIN",5
"R-HSA-9769735","Initiation of coagulation cascade","5/455","17/8526",0.294117647058824,5.51131221719457,4.42056012616165,0.00153433387203372,0.0231808820126175,0.0231808820126175,"SDC2/GPC1/PROS1/F10/TFPI",5
"R-HSA-975634","Retinoid metabolism and transport","6/455","25/8526",0.24,4.49723076923077,4.15765554106653,0.00165989545568602,0.0247435082594263,0.0247435082594263,"APOE/SDC2/GPC1/LRP12/LRP1/AKR1C1",6
"R-HSA-9616222","Transcriptional regulation of granulopoiesis","9/455","53/8526",0.169811320754717,3.18200290275762,3.78323983710961,0.00176165925952197,0.0259149348966522,0.0259149348966522,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/CEBPB/H3C6/H2BC11/CDKN1A",9
"R-HSA-418990","Adherens junctions interactions","22/455","210/8526",0.104761904761905,1.96307692307692,3.35507785215408,0.00182791824484487,0.0265404233472281,0.0265404233472281,"H4C8/H2BC5/ZEB1/ACTG2/MCRIP1/SNAI2/TWIST1/CDH11/ACTA2/H4C9/CTSL/H2AC6/H2BC12/MDM2/H3C6/ZEB2/IL6ST/H2BC11/FURIN/FOXF1/CTSB/IL6",22
"R-HSA-418594","G alpha (i) signalling events","20/455","184/8526",0.108695652173913,2.03678929765886,3.37561993332125,0.00187341746812091,0.0268523170430664,0.0268523170430664,"PRKAR2B/S1PR3/RGS17/RGS4/ADORA1/SAA1/CXCL6/PLCB1/C3/LPAR3/CXCL8/CXCR6/GNG11/GNAI1/GPR37/LPAR1/GNB4/GPSM1/RGS5/P2RY14",20
"R-HSA-917977","Transferrin endocytosis and recycling","6/455","26/8526",0.230769230769231,4.32426035502959,4.03052352072139,0.00206218656472034,0.029183855434903,0.029183855434903,"ATP6V1B2/ATP6V0E1/MCOLN1/ATP6V1E1/STEAP4/ATP6V0A1",6
"R-HSA-9821002","Chromatin modifications during the maternal to zygotic transition (MZT)","7/455","35/8526",0.2,3.74769230769231,3.8673361093262,0.00214953868878077,0.0296689414081099,0.0296689414081099,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/H2BC11",7
